id,label,properties
1228,person,name,G. van Willigen
2181,person,name,"Haan, Gooitzen de"
2896,person,name,"Kammen, Vogeltje van"
719,person,name,Grundtvig  Frederik Lange
2225,person,name,"Vries, Sikke de"
1188,person,name,P. Heikop
574,person,name,Peder Jensen
465,person,name,Jens Kristensen
2247,person,name,"Dekker, Douwe"
179,person,name,Plikat
3990,person,name,"Meer, P. van de "
2473,person,name,"Westerhof, Likele"
2868,person,name,"Kempenaar, Gerrit"
244,person,name,Bremer
78,person,name,Pankow
2904,person,name,"Kammen, Doede van (bijnaam: Doede Dokter)"
2402,person,name,"Tuinstra - Stienstra, Jeltje"
1469,person,name,G. v.d. Linden
1906,person,name,"Haan, Folkert de"
103,person,name,Bökmann
3733,person,name,"Gier, Teus de"
3457,person,name,"Kerkman, W."
2106,person,name,"Berg, J.Th.S. van den"
3744,person,name,"Hoek, Mevrouw"
2053,person,name,"Heringa - van der Meulen, Lys"
2291,person,name,"Brouwer, Machiel"
193,person,name,Koch
1882,person,name,"Janssens, F."
2834,person,name,"Brander - de Bruin, Tjimkje"
2547,person,name,"Hermans, W."
1929,person,name,"Zuidema, Johannes"
2046,person,name,"Meulen, Wibe van der"
2814,person,name,"Mosselman - de Bruin, Sjoukje"
14,person,name,Sophie Brüdigam
204,person,name,Helmke
1174,person,name,Piet de Wit
4091,person,name,"Kornet, G."
1012,person,name,"Herwijnen, R. van"
1956,person,name,"Vallen, Lindsay"
3169,person,name,"Van Sandbergen, W."
250,person,name,Werner Auhls
830,person,name,Larsen  Anna
2415,person,name,"Pitstra, Hendrik"
2981,person,name,"Doremalen, Piet van"
4052,person,name,"Kroon, D."
2434,person,name,"Galiën - de Bruin, Haebeltje van der"
1831,person,name,"Welters, M.M.C."
372,person,name,Sem M K Godskesen
4193,person,name,"Smits, Frans [2]"
2613,person,name,"Smeets, Frits"
1556,person,name,"Engels, Graad"
1027,person,name,"Veen, F. van"
1156,person,name,J.v.d. Stelt
3837,person,name,"Wolters-Huijsmans, Johanna Hendrina"
1479,person,name,L. van Iterson
2235,person,name,"Heide - Stavasins, Tietje van der"
2056,person,name,"Pomper, Hendrik"
1435,person,name,D. van Meegdenburg
4062,person,name,"Horst, Toon v.d."
2386,person,name,"Halen - de Boer, Ruurdina van"
38,person,name,Gerhard Wilken
407,person,name,Kristen Eriksen
2534,person,name,"Plantinga - Wijbinga, Hiske [Wybinga ?]"
2490,person,name,"Dijkstra, Sjoerd"
153,person,name,A. Micheel
1778,person,name,"Schilt, overgrootvader van C."
2400,person,name,"Zeilinga, Marten"
2827,person,name,"Pool, Jakobus [alternatief: Jacobus]"
4196,person,name,J.H. Poulusse
131,person,name,Hecht
490,person,name,Søren Hansen
50,person,name,Wulff
1642,person,name,"Reynaert, Emiel"
4010,person,name,"Verhoef, Leen"
695,person,name,Nik  Christensen
4224,person,name,H. Kerkkamp
223,person,name,Micheels
1856,person,name,"Heel, A.W.H. van"
2202,person,name,"Veenstra - van der Meer, Hendrikje"
3959,person,name,"Griffioen, C."
3963,person,name,"Hoogendoorn, Dirk"
4045,person,name,"Bos, W."
4069,person,name,"Uythoven, B."
898,person,name,"Paulusma, Wijbe"
2512,person,name,"Folkertsma, Ealse"
783,person,name,Rasmusdatter  Johanne
2240,person,name,"Kammen, Roel van"
175,person,name,Lehmann
1087,person,name,"Achterberg, Jac."
2817,person,name,"Bosma, Geert"
3460,person,name,"Janssen, Ben"
559,person,name,Jørgen Henriksen
597,person,name,Lærer Peter L Juhl
3768,person,name,"Bruin, Job de"
60,person,name,Wendt
2876,person,name,"Tuins - Stienstra, Jeltje"
915,person,name,"Couperus, Jan"
2258,person,name,"Wester, Gjalt"
4155,person,name,"Besten, A. den"
170,person,name,Jacobs
524,person,name,Niels Kjær
2809,person,name,"Vries, Sipke de"
3205,person,name,M. v. d. Mortel
2069,person,name,"Bijma, Anders"
3967,person,name,"Maaijen, L."
2850,person,name,"Adema, Anne"
2329,person,name,"Veenhuizen - van der Molen, Hiltje (bijnaam: Hil Pikelhearring)"
2837,person,name,"Elzinga - de Vries, Minke"
1363,person,name,W. Verhoeven
3181,person,name,"Ippel, Johannes"
2863,person,name,"Berg, Pieter van der"
1542,person,name,"Schlepers, Gerhardus [Johannes Bernardus]"
2499,person,name,"Kuipers - Veenstra, Bontje"
1910,person,name,"Veenstra - Boerema, Hindrikje"
2191,person,name,"Klunder, Frits"
3982,person,name,"Bor, W."
2820,person,name,"Veenstra - v.d. Heide, Gelske"
1952,person,name,"Dalman - Douma, Bontje"
1359,person,name,A. van Zuidam
3453,person,name,"Nuyen-Kerkman, W."
3129,person,name,Gust Vriendts
68,person,name,Frederich
1675,person,name,"Lambers, J."
1257,person,name,"van de Brug, A.C."
3344,person,name,"Mattijsen, Marianne"
2303,person,name,"Alma - Bekkema, Andrieske"
2228,person,name,"Graaf, Pieter de"
649,person,name,E  F  Madsen
1400,person,name,C. A. van Waarden
4080,person,name,"Geffen, E. A. van"
107,person,name,Gildhof
227,person,name,Oppermann
2492,person,name,"Gorter, Ype"
2082,person,name,"Veenstra, Oebele"
2397,person,name,"Zee, Sape Gooitsens van der"
1317,person,name,"Kieboom, A."
2285,person,name,"Pultrum, Klaas [ook Nicolaas]"
1978,person,name,"Laanstra-de Haan, Geertje"
944,person,name,"Herwijnen, Z. van"
134,person,name,Dahl
770,person,name,Jensen  O P
1499,person,name,A. Koenen
1897,person,name,"Jacobs, J.A."
100,person,name,Fritz Laudan
3772,person,name,"Vliet, C. van"
619,person,name,Niels Kristian Jensen
1451,person,name,Chr. v.d. Werken
2071,person,name,"Zuidersma, Wed."
2514,person,name,"Vlugt, Jonas (Jans) van der"
161,person,name,Frahm
2214,person,name,"Pultrum, Jille"
868,person,name,Niels Jensen
4088,person,name,"Lievaart, K."
2969,person,name,"Meyden- van Doremalen, Mevrouw F. v. d."
158,person,name,"Engel, geb. Kohlmetz"
3219,person,name,"Versteeg, Thijs"
4034,person,name,Antoon Markus
2327,person,name,"Bijma, Engbert"
2911,person,name,"Kammen, Wytse van"
2921,person,name,"Haan, Hâns de"
2024,person,name,"Hoop, Pieter de"
3443,person,name,"Schennink, Th."
1182,person,name,H. van Bremen
4072,person,name,"Groeneveld, M."
2567,person,name,"Hofman, A."
139,person,name,Bernhard Schnell
1220,person,name,O.J. Visser
1197,person,name,J. Merkens
1988,person,name,"Schievink, Abraham (Bram)"
2298,person,name,"Steensma, Gurbe"
1136,person,name,"Timmer, W."
