src-id,dst-id,label,properties
4672,419,date-of-narration
20778,20774,date-of-narration
9005,8953,date-of-narration
24213,24171,date-of-narration
8168,7605,date-of-narration
13303,13298,date-of-narration
15346,15344,date-of-narration
10404,10417,date-of-narration
5788,419,date-of-narration
16487,16490,date-of-narration
5394,273,date-of-narration
9425,9419,date-of-narration
12856,12826,date-of-narration
16099,16098,date-of-narration
22321,22320,date-of-narration
15493,15496,date-of-narration
16251,16238,date-of-narration
23342,8835,date-of-narration
25678,25683,date-of-narration
14977,14976,date-of-narration
20455,20459,date-of-narration
17302,17053,date-of-narration
3093,291,date-of-narration
549,273,date-of-narration
15924,15917,date-of-narration
1657,419,date-of-narration
15708,15700,date-of-narration
17111,17053,date-of-narration
17887,17886,date-of-narration
4859,291,date-of-narration
12748,12753,date-of-narration
25135,9156,date-of-narration
16507,16501,date-of-narration
7461,291,date-of-narration
1193,291,date-of-narration
13563,13562,date-of-narration
15763,15762,date-of-narration
6030,723,date-of-narration
6701,419,date-of-narration
14809,14811,date-of-narration
16299,16285,date-of-narration
965,548,date-of-narration
14246,14243,date-of-narration
1365,291,date-of-narration
14457,14456,date-of-narration
14126,14130,date-of-narration
16468,16463,date-of-narration
23445,23444,date-of-narration
24447,24435,date-of-narration
14482,14476,date-of-narration
16510,16511,date-of-narration
17983,17974,date-of-narration
26467,26473,date-of-narration
13692,13688,date-of-narration
6212,291,date-of-narration
3352,291,date-of-narration
15818,15820,date-of-narration
17706,17705,date-of-narration
1031,419,date-of-narration
9741,9746,date-of-narration
15803,15776,date-of-narration
16608,16607,date-of-narration
17856,17848,date-of-narration
8626,7605,date-of-narration
1253,392,date-of-narration
11631,11390,date-of-narration
13181,13191,date-of-narration
16638,16637,date-of-narration
19375,19271,date-of-narration
25065,9156,date-of-narration
23173,23178,date-of-narration
10043,10055,date-of-narration
16623,16613,date-of-narration
12786,12789,date-of-narration
5955,291,date-of-narration
12659,12658,date-of-narration
6549,791,date-of-narration
14017,14016,date-of-narration
20421,20420,date-of-narration
22862,273,date-of-narration
17918,17909,date-of-narration
1214,291,date-of-narration
16274,16278,date-of-narration
16262,16261,date-of-narration
2680,273,date-of-narration
12094,12089,date-of-narration
21446,21424,date-of-narration
2932,291,date-of-narration
22288,22287,date-of-narration
5563,291,date-of-narration
6714,419,date-of-narration
16600,16598,date-of-narration
15459,15461,date-of-narration
20767,20774,date-of-narration
4608,392,date-of-narration
12119,12118,date-of-narration
2274,291,date-of-narration
17065,17053,date-of-narration
10554,7687,date-of-narration
24661,24655,date-of-narration
24788,24793,date-of-narration
1873,273,date-of-narration
16037,16035,date-of-narration
18644,18453,date-of-narration
2129,723,date-of-narration
6443,291,date-of-narration
21368,21372,date-of-narration
22453,16192,date-of-narration
14174,14173,date-of-narration
16662,16659,date-of-narration
20660,20662,date-of-narration
21035,21031,date-of-narration
7762,161,date-of-narration
21888,21895,date-of-narration
2163,291,date-of-narration
18725,18453,date-of-narration
22994,791,date-of-narration
14793,14638,date-of-narration
14937,14932,date-of-narration
24752,10772,date-of-narration
8811,8835,date-of-narration
14322,14326,date-of-narration
12628,12620,date-of-narration
14365,14361,date-of-narration
11461,11390,date-of-narration
20569,20576,date-of-narration
22190,22180,date-of-narration
24998,9156,date-of-narration
9407,9382,date-of-narration
24172,24176,date-of-narration
2167,291,date-of-narration
18980,18984,date-of-narration
6703,419,date-of-narration
13723,13721,date-of-narration
22693,22684,date-of-narration
22933,273,date-of-narration
6658,291,date-of-narration
7221,880,date-of-narration
14396,14102,date-of-narration
24573,24551,date-of-narration
25727,25732,date-of-narration
25395,25403,date-of-narration
26755,25378,date-of-narration
15097,15088,date-of-narration
17334,17053,date-of-narration
6961,291,date-of-narration
15655,15651,date-of-narration
18727,18719,date-of-narration
15379,15378,date-of-narration
23509,21138,date-of-narration
22631,16192,date-of-narration
6351,291,date-of-narration
14911,14912,date-of-narration
8325,7687,date-of-narration
24161,21914,date-of-narration
21951,21957,date-of-narration
11226,11224,date-of-narration
7991,90,date-of-narration
11162,11173,date-of-narration
16549,16550,date-of-narration
4324,392,date-of-narration
3069,273,date-of-narration
12230,12229,date-of-narration
25077,9156,date-of-narration
5209,392,date-of-narration
9402,9382,date-of-narration
14896,14895,date-of-narration
22064,22055,date-of-narration
3152,419,date-of-narration
15656,15658,date-of-narration
15741,15736,date-of-narration
11112,11130,date-of-narration
2317,273,date-of-narration
16933,10638,date-of-narration
14069,13721,date-of-narration
15837,15820,date-of-narration
8220,419,date-of-narration
14940,14926,date-of-narration
9694,9683,date-of-narration
