id,label,properties
5207,person,name,Mads Lorentsen
3804,person,name,Niels Madsen
6172,person,name,Dorte Ludvigsdatter
5681,person,name,Johanne Kirstine Nielsdatter
8011,person,name,Nielsen  Niels
2342,person,name,Jeppe  Larsen  West
6554,person,name,A P Gårdboe
7116,person,name,Peder Pedersen Sjælland
2321,person,name,Lars Dybdahl
794,person,name,R  Rasmussen
2016,person,name,Knud Jørgensen
6086,person,name,Niels N Kobberholm
1188,person,name,Else Marie Pedersdatter
3222,person,name,Jens Kristensen
6844,person,name,Lærer A Andersen
3617,person,name,Plantør Vilhelm Holst
5699,person,name,M  Nielsen Kolstrup
7767,person,name,Hansen  H P
8093,person,name,Andersen  Jens Tovstrup
787,person,name,Søren Lavrsen
2218,person,name,Marie Johansen
4373,person,name,P Klemmensen Pedersen
6654,person,name,Mads Pedersen
4449,person,name,Gunde Gundesen
1234,person,name,Nis Henriksen Callesen
240,person,name,Lærer H Hansen
3912,person,name,Jakob Rasmussen
4961,person,name,Jørgen Rasmussen Bak
4602,person,name,Maren Pedersdatter
4646,person,name,Dorte Lavrsdatter
8105,person,name,Bendtsen  Mette
1965,person,name,N  Kr  Pedersen
2618,person,name,Hans Jokum Lauridsen
1881,person,name,Mads Møller
7741,person,name,Jakobsen  Jens
7994,person,name,Pedersen  H
7652,person,name,Kjær  Niels N
997,person,name,Kornmaaler  Knud
1259,person,name,Student Vilh Chr Boye
1037,person,name,Karl Andreassen
6987,person,name,Kristen Peter Frandsen
2526,person,name,Jens Sørensen
2878,person,name,Karen Marie Kristensdatter
3368,person,name,Lærer Theodor Jensen
7406,person,name,Olsen  J
5130,person,name,Rasmus P  Randlev
2914,person,name,Lavst Arnum
1266,person,name,F  Dyrlund
2264,person,name,Niels Nielsen Væver
6366,person,name,V  Dystrup
780,person,name,Jens Gudesen
2385,person,name,Søren Mortensen
4205,person,name,Peder Nielsen
6578,person,name,Søren Tind
3143,person,name,Lars Peter Jensen
7691,person,name,Pedersen  Petrine
1692,person,name,Niels Kr Kristensen Kørner
4008,person,name,Kontorist Hans Marinus Iversen
7139,person,name,Niels Johannes Lund
8292,person,name,Jensen
8295,person,name,Muller  Sigurd
1111,person,name,P. Kristensen Bliksted
2029,person,name,Jeppesdatter  Karen
2258,person,name,Maren Primdal
2817,person,name,H P Nielsen
4885,person,name,Hans Krist Sørensen
8393,person,name,Thomsen  Magdalene
1123,person,name,Ane Marie Pedersdatter
3242,person,name,Marie Buhl
3442,person,name,K Kr Jensen
5717,person,name,Lærer Anton Gårdboe
6134,person,name,Madam Pedersen
7227,person,name,Kristen Rønning
2752,person,name,Frederiksen  Lars
3511,person,name,Søren Kristian Andersen
3419,person,name,C M Larsen
4283,person,name,Anders Krist  Nielsens
4278,person,name,Iversdatter  Ellen Marie
6775,person,name,Hans Andersen
3284,person,name,Mads Peter Kristensen
5663,person,name,Karl Larsen
2185,person,name,Mariane Madsdatter Agger
7480,person,name,Lavridsen  Marie Katrine
6912,person,name,Iver Bundgård
42,person,name,K  P  Dalin
1006,person,name,Mette Printz
1099,person,name,Laust Nikolaj Bertelsen
1708,person,name,Lars Jørgensen Duelund
8224,person,name,Kristiansen  K Æ
287,person,name,Lærer J Holst-Rasmussen
1284,person,name,Jens Larsen
5642,person,name,J  L  Knudsen
4954,person,name,Mogens Kristensen
7886,person,name,Nørregaard  Katrine Andersen
2129,person,name,Hans Kristian Larsen
5320,person,name,Lærer Hansen
4598,person,name,Anders Kristensen
7429,person,name,Simonsen  Kristian
3630,person,name,Lærer P K Jensen
5607,person,name,Jens Jensen Smed
7665,person,name,Vilhelmsen  Jakob
5736,person,name,Hans Andreas Wulff
7746,person,name,Jensen  Kristen
6515,person,name,Jens Mosen
8194,person,name,Jepsen  Martin Hansen
2759,person,name,Svend Peter Jensen
4287,person,name,Thomas Andbæk
4992,person,name,H  V  Pedersen
7376,person,name,Aase  R P
8250,person,name,Højberg  Frederik
2891,person,name,Lars Nielsen
6851,person,name,Skrædder Peder Hansen
4670,person,name,Ane Margrete Hansdatter
8431,person,name,Refslund  Jakob
4857,person,name,Eline Møller
6016,person,name,Eriksdatter  Ane
4198,person,name,Anders Sørensen
6294,person,name,Erik Sørensen
